name,latitude,longitude
JL. RAYA KUKUN DAUN713_SALES,-6.12743,106.4981
BTSH Cengkareng,-6.15161,106.7251
IBS SUKAMULYA,-6.15958,106.422
BTSH Vila Gading,-6.16703,106.8979
IBS PASAR KEMIS,-6.17221,106.5347
BTSH Srengseng,-6.20172,106.7671
Taman Rasuna Metro E,-6.21745,106.8368
BTSH GRAHA RAYA,-6.25529,106.6711
BTSH Cawang,-6.26624,106.8633
BTSH PAKIS RAYA,-6.267,106.9751
IBS BT00326,-6.2739,106.4185
BTS HOTEL JOMBANG (TSEL),-6.28595,106.7029
BTS HOTEL PONDOK RANJI (TSEL),-6.29443,106.755
BTSH – TANGSEL - SARUA,-6.32284,106.7094
BTS HOTEL MESJID JAMI DARUL TAQWA (TSEL),-6.35509,106.7558
BTS HOTEL UI,-6.36769,106.8276
BOGOR RUMPIN,-6.38955,106.6331
BTS HOTEL LEGENDA WISATA_BTS HOTEL,-6.39742,106.9485
KELING,-6.4822,110.866
IBS TATYA ASRI (KALISUREN),-6.53128,106.8408
MARGOTUHU KIDUL,-6.58032,111.0636
IBS TAMAN PAGELARAN TDD,-6.58859,106.7594
TBG03_CJ079,-6.64361,110.7164
140785104,-6.70753,111.2432
SEDAN,-6.7683,111.5726
1648622004,-6.78355,111.7838
LEMBANG UTARA - RELOC,-6.82493,107.6315
PASAR ATAS CIMAHI,-6.87285,107.5427
/PASIR IMPUN,-6.90055,107.6764
TBG03_EJ110,-6.90829,112.0713
POLRES DEMAK,-6.91079,110.6175
/JL PAMEKAR MD - KAUMKIDUL MD,-6.92067,107.7003
BBU Bandung,-6.92228,107.6168
TERUSAN BUAH BATU,-6.94998,107.6371
1432241023,-7.01532,110.4867
IBS KEBON AGUNG,-7.01816,110.6952
MANDIRANJANG,-7.02975,107.7516
1445162007,-7.10909,110.9207
IBS BAURENO,-7.13348,112.1632
CEPUSELATAN,-7.16027,111.562
KLANGONAN,-7.17232,112.6186
BOJONEGORO SUMBEREJO-2,-7.18633,111.9785
IBS GABUSAN,-7.19727,111.2521
MARGOMULYO RELOK,-7.25757,112.6781
/BTS HOTEL UNAIR,-7.2702,112.789
OMAH DATA,-7.2731,112.7429
TBG SBY Office,-7.2878,112.734
/UNESA - LIDAH WETAN,-7.30068,112.6723
/UNESA - KETINTANG,-7.31513,112.727
KEDUNGMENTAWAR,-7.33628,112.1665
GEDANGAN,-7.4001,112.7259
AJINOMOTO,-7.44993,112.4339
PETERONGAN,-7.54247,112.285
MAGELANG_TEMPURAN,-7.55925,110.1585
TAMANAGUNG MUNTILAN,-7.57321,110.2934
IBS KERTOSONO,-7.60537,112.1008
PANDAAN,-7.67384,112.7036
KLEPU SLEMAN,-7.7584,110.2364
/SIDIKAN KOMITMEN ISP,-7.82353,110.3857
IBS NGADILUWIH,-7.86653,111.9966
3G-ARDIMULYO MALANG,-7.88581,112.6696
SUKUN,-8.02227,112.6238
KEDUNGWARU PLOSOKANDANG,-8.08093,111.929
IBS BLITAR,-8.12007,112.1613
SINGARAJA 2,-8.12237,115.0812
KARANGKATES,-8.13323,112.4247
IBS LESS,-8.13472,115.3578
SUMBERKIMA,-8.1489,114.634
GILIMANUK,-8.16654,114.4364
IBS CELUKAN BAWANG,-8.1975,114.8378
MUNDUK BANJAR,-8.267,115.0574
CULIK,-8.32383,115.6192
LOLOAN NEGARA,-8.36568,114.6177
BTSH – BADUNG – KEC PETANG,-8.40029,115.2181
PULUKAN PEKUTATAN,-8.41447,114.8066
BATURITI_PEREANTENGAH,-8.43555,115.1999
IBS BUKIT KAPAS,-8.45452,115.6127
ANTOSARI 3,-8.52643,115.0066
XL OUTLET KLUNGKUNG,-8.53715,115.3989
170488126 MAS UBUD_BTS HOTEL,-8.54256,115.2668
BTSH – BADUNG - DARMASABA,-8.58721,115.2168
BTSH – BADUNG – PUSPEM,-8.60101,115.1855
170487126 CITRALAND_BTS HOTEL,-8.63096,115.1899
Kantor Kecamatan Kuta Utara,-8.64527,115.1623
Sanur_BTS HOTEL,-8.67127,115.2575
GUNUNG SOPUTAN_BTS HOTEL,-8.68445,115.1904
BTSH – BADUNG – KEC KUTA,-8.7257,115.1785
BTSH – BADUNG – KEC KUTA SELATAN,-8.78306,115.1778
CYBER,-6.23868,106.824
IBS GUNUNG SINDUR,-6.38451,106.68575
MRT_LEBAK BULUS,-6.289346,106.774792
MRT_FATMAWATI,-6.292397,106.792429
MRT_CIPETE RAYA,-6.278177,106.797405
MRT_H. NAWI,-6.26682,106.797329
MRT_BLOK A,-6.255636,106.797146
MRT_BLOK M,-6.244635,106.798069
MRT_SENAYAN,-6.226619,106.802697
MRT_ISTORA GBK,-6.222385,106.808602
MRT_BENHIL,-6.214739,106.818238
MRT_SETIABUDI,-6.209114,106.821741
MRT_DUKUH ATAS,-6.20152,106.822746
MRT Bunderan HI,-6.193167,106.823059
ITDC,-8.80042,115.22774
BDX,-6.290592,106.78622
Cyber APJII,-6.238814,106.823922
IDC Duren Tiga,-6.253671,106.832858
JBT (BDDC),-6.158999,106.689875
KPPTI Indosat (BDX),-6.180348,106.821784
NeuCentrIX Karet Tengsin,-6.202677,106.816088
JST (BDDC),-6.243145,106.867133
DCI Cibitung / PDG Cibitung,-6.314568,107.090754
POP KITB 2,-6.9729,110.02521
POP KITB,-6.977666,109.998468
BTSH – PALEMBANG – KENTEN UJUNG,-2.9191,104.77967
MCC,-6.21285,106.821254
Edge DC,-6.238982,106.824819
TBG ISIMU SELATAN,0.66677,122.85223
TBG HUTABOHO,0.6202,122.91519
DUTULANAA,0.63785,122.99258
TBG ULAPATOA,0.61856,122.97838
BATUDAA,0.56507,122.94951
TBG DUSUN5 TALAGAJAYA,0.57521,123.01582
TBG TELAGA DUSUNTIGA,0.58481,123.033
TOD,-6.201997,106.82376
